Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон,Веб-сайт,ВКонтакте,Широта,Долгота,2GIS URL,Тип;;;;;;;;;;;
"Школа Вендинг,,Кондитерские изделия,""улица Мира, 14"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,,66.861037,70.846132,https://2gis.com/firm/70000001076120065,branch";;;;;;;;;;;
"Ямальская школа-интернат им. Василия Давыдова,,Школы-интернаты,""улица Мира, 14"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,83499630064,http://yamalskaya.yanao.ru,,66.861037,70.846133,https://2gis.com/firm/70000001068740324,branch";;;;;;;;;;;
"Ямальская детская музыкальная школа,,Детские музыкальные школы,""Советская улица, 17"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,Пн: 08:30-19:00";; Вт: 08:30-19:00; Ср: 08:30-19:00; Чт: 08:30-19:00; Пт: 08:30-19:00; Сб: 12:00-18:00,+05:00,,,83499631134,http://yadmsh.yam.muzkult.ru,,66.860791,70.841014,https://2gis.com/firm/70000001078645524,branch;;;;;
"Аэроямал,авиакомпания,Авиакомпании,""улица Мира, 22"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,""Пн: 08:30-12:30, 14:00-18:00";; Вт: 08:30-12:30, 14:00-17:00; Ср: 08:30-12:30, 14:00-17:00; Чт: 08:30-12:30, 14:00-17:00;" Пт: 08:30-12:30, 14:00-17:00"",+05:00,3.0,2,83499631187,88002344402,83499630820,https://vk.com/club7731530,66.862161,70.844487,https://2gis.com/firm/70000001075869087,branch";;;;;;
Аст яр-сале,,Авиакомпании;;" Авиабилеты,""улица Мира, 22"",,629700,Ямальский район,Ямало-Ненецкий автономный округ,Россия,66.862161,70.844487,https://2gis.com/firm/70000001062298895,branch";;;;;;;;;
"Вавилон,магазин,Продуктовые магазины,""улица Худи Сэроко, 27"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.861891,70.837384,https://2gis.com/firm/70000001076121171,branch";;;;;;;;;;;
Северный,магазин,Продуктовые магазины;;" Хозтовары,""улица Кугаевского, 8"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,Пн: 10:00-22:00"; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 12:00-20:00,+05:00,,,,,66.866598,70.829501,https://2gis.com/firm/70000001067210487,branch;;;
"Стрелец,,Супермаркеты,""Советская улица, 37а"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,Пн: 10:00-22:00";; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,,,66.864692,70.83695,https://2gis.com/firm/70000001062052807,branch;;;;
"Айсберг,,Продуктовые магазины,""Советская улица, 38"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.865919,70.837,https://2gis.com/firm/70000001062323265,branch";;;;;;;;;;;
"ИП Норматов М.М.,,Продуктовые магазины,""Советская улица, 43"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.865724,70.836202,https://2gis.com/firm/70000001075955617,branch";;;;;;;;;;;
"Ксения,продуктовый магазин,Продуктовые магазины,""улица Худи Сэроко, 40"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,Пн: 10:00-22:00";; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,89044754805,,66.866164,70.833593,https://2gis.com/firm/70000001079989446,branch;;;;
"Белая медведица,,Продуктовые магазины,""Полярный квартал, 7"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.868772,70.834388,https://2gis.com/firm/70000001076031429,branch";;;;;;;;;;;
"Партнер,магазин,Продуктовые магазины,""Советская улица, 18"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.86234,70.841187,https://2gis.com/firm/70000001062324400,branch";;;;;;;;;;;
"Смак,магазин,Продуктовые магазины,""улица Худи Сэроко, 25"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.861329,70.838015,https://2gis.com/firm/70000001076101338,branch";;;;;;;;;;;
"Продуктовый магазин,,Продуктовые магазины,""Советская улица, 14"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.861381,70.842302,https://2gis.com/firm/70000001075963862,branch";;;;;;;;;;;
Аст яр-сале,,Авиакомпании;;" Авиабилеты,""улица Мира, 22"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,1.0,1,,,66.862161,70.844487,https://2gis.com/firm/70000001062298895,branch";;;;;;;;;
"Магазин продуктов,,Продуктовые магазины,""Полярный квартал, 4"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.869165,70.832936,https://2gis.com/firm/70000001075958035,branch";;;;;;;;;;;
Магазин,ИП Гридина В.Ю.,Посуда;; Домашний текстиль; Керамические изделия; Мебель для кухни;" Мягкая мебель,""улица Мира, 34а"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.864428,70.841772,https://2gis.com/firm/70000001061826318,branch";;;;;;
Быстрые Запчасти,магазин,Запчасти для отечественных автомобилей;; Запчасти для грузовых автомобилей; Запчасти для иномарок; Автохимия;" Автоаксессуары,""улица Мира, 29"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.865397,70.839465,https://2gis.com/firm/70000001075833778,branch";;;;;;
Теремок,магазин,Женская одежда;; Мужская одежда;" Детская одежда,""улица Худи Сэроко, 47Б"",,629700,,,,Ямальский район,Ямало-Ненецкий автономный округ,Россия,,+05:00,,,,,66.865419,70.832214,https://2gis.com/firm/70000001076123607,branch";;;;;;;;
