element,id,name,geometry,type,latitude,longitude
node,5955171332,Перекрёсток,POINT (70.8371386 66.8657119),,66.8657119,70.8371386
node,5957466248,Тура,POINT (70.8467824 66.8576072),,66.8576072,70.8467824
node,5957466388,ЯЛЭМД,POINT (70.844556 66.8591566),,66.8591566,70.844556
node,5957632594,"Кафе ""АЙС""",POINT (70.8391887 66.8662097),cafe,66.8662097,70.8391887
node,5958042477,Ямальские Олени,POINT (70.8388284 66.8634375),,66.8634375,70.8388284
node,5958042753,Овощная Лавка,POINT (70.8373789 66.8626767),,66.8626767,70.8373789
node,5958042775,Жар-Пицца,POINT (70.8411967 66.8613105),cafe,66.8613105,70.8411967
node,5958043097,Центр национальных культур,POINT (70.8411494 66.8609695),community_centre,66.8609695,70.8411494
node,5958296471,Белая Медведица,POINT (70.8344894 66.8687601),,66.8687601,70.8344894
node,5958296473,Завхоз,POINT (70.8340978 66.8678065),,66.8678065,70.8340978
node,5958296482,Фруктовый Рай,POINT (70.8298036 66.8697139),,66.8697139,70.8298036
node,5958296483,Cicilia,POINT (70.8311949 66.8695369),,66.8695369,70.8311949
node,5959718668,Ямальский,POINT (70.8365105 66.8627999),,66.8627999,70.8365105
node,5959718694,Вавилон,POINT (70.8373909 66.8619396),,66.8619396,70.8373909
node,5959718745,Градусник,POINT (70.8366341 66.8619591),pharmacy,66.8619591,70.8366341
node,5959719031,ИТД,POINT (70.8371073 66.8614554),,66.8614554,70.8371073
node,6568687418,Яр-Сале,POINT (70.83653 66.865563),,66.865563,70.83653
node,6800436089,Глобус Знаний,POINT (70.8454496 66.8606333),,66.8606333,70.8454496
node,6800436132,В. И. Ленину,POINT (70.8406053 66.8603225),,66.8603225,70.8406053
node,8365454620,"Магазин-СТО ""ЛИДЕР""",POINT (70.828086 66.869715),,66.869715,70.828086
node,8629857343,Поликлиника,POINT (70.8401495 66.8597395),doctors,66.8597395,70.8401495
node,8646216907,Ялэмд,POINT (70.844429 66.8590927),restaurant,66.8590927,70.844429
node,8646216908,Арктика,POINT (70.8391632 66.8664601),,66.8664601,70.8391632
